review_id,user_id,business_id,stars,useful,funny,cool,text,time
"KU_O5udG6zpxOg-VcAEodg","mh_-eMZ6K5RLWhZyISBhwA","XQfwVwDr-v0ZS3_CbbE5Xw",3,0,0,0,"If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it multiple times, because I want to like it! I have been to it's other locations in NJ and never had a bad experience. 

The food is good, but it takes a very long time to come out. The waitstaff is very young, but usually pleasant. We have just had too many experiences where we spent way too long waiting. We usually opt for another diner or restaurant on the weekends, in order to be done quicker.","2018-07-07 22:09:11"
"BiTunyQ73aT9WBnpR9DZGw","OyoGAe7OKpv6SyGZT5g77Q","7ATYjTIgM3jUlt4UM3IypQ",5,1,0,1,"I've taken a lot of spin classes over the years, and nothing compares to the classes at Body Cycle. From the nice, clean space and amazing bikes, to the welcoming and motivating instructors, every class is a top notch work out.

For anyone who struggles to fit workouts in, the online scheduling system makes it easy to plan ahead (and there's no need to line up way in advanced like many gyms make you do).

There is no way I can write this review without giving Russell, the owner of Body Cycle, a shout out. Russell's passion for fitness and cycling is so evident, as is his desire for all of his clients to succeed. He is always dropping in to classes to check in/provide encouragement, and is open to ideas and recommendations from anyone. Russell always wears a smile on his face, even when he's kicking your butt in class!","2012-01-03 15:28:18"
"saUsX_uimxRlCVr67Z4Jig","8g_iMtfSiwikVnbP2etR0A","YjUWPpI6HXG530lwP-fb2A",3,0,0,0,"Family diner. Had the buffet. Eclectic assortment: a large chicken leg, fried jalapeño, tamale, two rolled grape leaves, fresh melon. All good. Lots of Mexican choices there. Also has a menu with breakfast served all day long. Friendly, attentive staff. Good place for a casual relaxed meal with no expectations. Next to the Clarion Hotel.","2014-02-05 20:30:30"
"AqPFMleE6RsU23_auESxiA","_7bHUi9Uuf5__HHc_Q8guQ","kxX2SOes4o-D3ZQBkiMRfA",5,1,0,1,"Wow!  Yummy, different,  delicious.   Our favorite is the lamb curry and korma.  With 10 different kinds of naan!!!  Don't let the outside deter you (because we almost changed our minds)...go in and try something new!   You'll be glad you did!","2015-01-04 00:01:03"
"Sx8TMOWLNuJBWer-0pcmoA","bcjbaE6dDog4jkNY91ncLQ","e4Vwtrqf-wpJfwesgvdgxQ",4,1,0,1,"Cute interior and owner (?) gave us tour of upcoming patio/rooftop area which will be great on beautiful days like today. Cheese curds were very good and very filling. Really like that sandwiches come w salad, esp after eating too many curds! Had the onion, gruyere, tomato sandwich. Wasn't too much cheese which I liked. Needed something else...pepper jelly maybe. Would like to see more menu options added such as salads w fun cheeses. Lots of beer and wine as well as limited cocktails. Next time I will try one of the draft wines.","2017-01-14 20:54:15"
"JrIxlS1TzJ-iCu79ul40cQ","eUta8W_HdHMXPzLBBZhL1A","04UD14gamNjLY0IDYVhHJg",1,1,2,1,"I am a long term frequent customer of this establishment. I just went in to order take out (3 apps) and was told they're too busy to do it. Really? The place is maybe half full at best. Does your dick reach your ass? Yes? Go fuck yourself! I'm a frequent customer AND great tipper. Glad that Kanella just opened. NEVER going back to dmitris!","2015-09-23 23:10:31"
"6AxgBCNX_PNTOxmbRSwcKQ","r3zeYsv1XFBRA4dJpL78cw","gmjsEdUsKpj9Xxu6pdjH0g",5,0,2,0,"Loved this tour! I grabbed a groupon and the price was great. It was the perfect way to explore New Orleans for someone who'd never been there before and didn't know a lot about the history of the city. Our tour guide had tons of interesting tidbits about the city, and I really enjoyed the experience. Highly recommended tour. I actually thought we were just going to tour through the cemetery, but she took us around the French Quarter for the first hour, and the cemetery for the second half of the tour. You'll meet up in front of a grocery store (seems strange at first, but it's not terribly hard to find, and it'll give you a chance to get some water), and you'll stop at a visitor center part way through the tour for a bathroom break if needed. This tour was one of my favorite parts of my trip!","2015-01-03 23:21:18"
"_ZeMknuYdlQcUqng_Im3yg","yfFzsLmaWF2d4Sr0UNbBgg","LHSTtnW3YHCeUkRDGyJOyw",5,2,0,0,"Amazingly amazing wings and homemade bleu cheese. Had the ribeye: tender, perfectly prepared, delicious. Nice selection of craft beers. Would DEFINITELY recommend checking out this hidden gem.","2015-08-07 02:29:16"
"ZKvDG2sBvHVdF5oBNUOpAQ","wSTuiTk-sKNdcFyprzZAjg","B5XSoSG3SfvQGtKEGQ1tSQ",3,1,1,0,"This easter instead of going to Lopez Lake we went to Los Padres National Forest which is really pretty but if you go to white rock the staff needs to cut down all the dead grass that invades the rock and the water. I would wish the staff would also clean or get rid of the dead grass that's also living by the water. The water is really green and dirty. Los padres national forest staff need to work hard to maintain this forest looking pretty and not like a dumpster. Even Cachuma lake looks like they put a bit more effort.","2016-03-30 22:46:33"
"pUycOfUwM8vqX7KjRRhUEA","59MxRhNVhU9MYndMkz0wtw","gebiRewfieSdtt17PTW6Zg",3,0,0,0,"Had a party of 6 here for hibachi. Our waitress brought our separate sushi orders on one plate so we couldn't really tell who's was who's and forgot several items on an order. I understand making mistakes but the restaraunt was really quiet so we were kind of surprised. Usually hibachi is a fun lively experience and our  cook  said maybe three words, but he cooked very well his name was Francisco. Service was fishy, food was pretty good, and im hoping it was just an off night here. But for the money I wouldn't go back.","2016-07-25 07:31:06"
"rGQRf8UafX7OTlMNN19I8A","1WHRWwQmZOZDAhp2Qyny4g","uMvVYRgGNXf5boolA9HXTw",5,2,0,0,"My experience with Shalimar was nothing but wonderful. 
I wanted to get my engagement ring sized and was told over the phone that it could probably be done within the day. 
When I brought it by, the team confirmed that the jeweler would be able to accommodate my same-day request and that it would be around $40 (simple band, decrease by three full sizes).
I checked my size one more time, confirmed, and left to let them do their thing.
When I came to pick up later that afternoon, the ring was too small. It's very important to note that Shalimar sized the ring perfectly, but that I made a mistake and should've gone up a half-size.
The Shalimar group were completely understanding and accommodating, even resizing my ring back up and getting it back to me within an hour at no charge! Even though it was my mistake!
The associates' attitudes in dealing with what was a pretty embarrassing situation instantly earned my satisfaction and loyalty as a customer. Very grateful for such a wonderful experience.","2015-06-21 14:48:06"
